Number,Brand,Flavor,Rating
173,Good and Gather,Cucumber Mint,10
174,Good and Gather,Strawberry Mango,62
175,Good and Gather,Cranberry Citrus,59
176,Spindrift,Strawberry,66
177,La Croix,Watermelon Lime,63
178,Vita Coco,Raspberry Lime,41
179,Vita Coco,Lemon Ginger,28
180,Signature Selects,Watermelon Strawberry,44
181,Cascade Ice,Kiwi Strawberry,52
182,Cascade Ice,Strawberry Lemonade,50
183,Cascade Ice,Cherry Limeade,57
184,Cascade Ice,Orange Mango,61
185,Cascade Ice,Lemonade,66
186,Signature Selects,Cranberry Raspberry,41
187,Cascade Ice,Blackberry Raspberry,36
188,Cascade Ice,Blueberry Watermelon,53
189,Signature Selects,Kiwi Strawberry,55
190,Signature Selects,Raspberry Blackberry,54
191,Cascade Ice,Cranberry Pomegranate,57
192,Trader Joes,Blueberry Lemonade,71
193,Trader Joes,Mandarin Orange,68
194,Trader Joes,Raspberry Lime,73
195,Trader Joes,Lemon,62
196,Trader Joes,Cranberry Clementine,76
197,Trader Joes,Lime,69
198,Trader Joes,Grapefruit,59
199,Trader Joes,Pineapple,53
200,Signature Selects,Pineapple Mango,44
201,Cascade Ice,Pink Grapefruit,47
202,Franklin and Sons,Elderflower and Cucumber,59
203,Asarasi,Tree Water,63
204,Naleczowianka,Naleczowianka,60
205,Polar,Strawberry Margarita,72
206,Polar,Blackberry Mango Punch,70
207,Polar,Kiwiw Pink Grapefruit,68
208,Polar,Raspberry Rose,77
209,Polar,Perfectly Plum Summer,82
210,Gold Emblem,Unsweetened Lemon Lime,60
211,Gold Emblem,Unsweetened Cranberry Raspberry,57
212,Gold Emblem,Unsweetened Mixed Berry,52
213,Gold Emblem,Unsweetened Grapefruit,42
214,Ice Mountain,Pomegranate Lemonade,64
215,Rishi,Black Lemon,69
216,Sanzo,Lychee/Rose,73
217,Sanzo,Calamansi,81
218,Rishi,Patagonia Maqui,71
219,Rishi,Schisandra Berry,64
